id,account_type,gender,age,region_code,cc_cons_apr,dc_cons_apr,cc_cons_may,dc_cons_may,cc_cons_jun,dc_cons_jun,cc_count_apr,cc_count_may,cc_count_jun,dc_count_apr,dc_count_may,dc_count_jun,card_lim,personal_loan_active,vehicle_loan_active,personal_loan_closed,vehicle_loan_closed,investment_1,investment_2,investment_3,investment_4,debit_amount_apr,credit_amount_apr,debit_count_apr,credit_count_apr,max_credit_amount_apr,debit_amount_may,credit_amount_may,credit_count_may,debit_count_may,max_credit_amount_may,debit_amount_jun,credit_amount_jun,credit_count_jun,debit_count_jun,max_credit_amount_jun,loan_enq,emi_active,cc_cons
23334,saving,M,63,305,7695,,479,,622,,2,1,3,,,,150000,,,,,,118845.2,50000,,51205.47,50259,3,1,50000,24740.22,114252,3,2,45000,20215.85,1279.37,7,3,470,,0,435
20329,current,M,33,326,52702,988.72,29873,,1087,2806.24,11,14,11,1,,6,176000,,,1,,,,,,159050.76,169812,20,9,70000,103102.85,174606,6,10,150000,122037.66,55390,8,19,27000,,4963.33,1921
17679,current,M,44,264,10800.49,3215.52,21659.64,1607,1168,355,6,9,6,3,2,14,65000,,,,,,,,,51484.55,38942,16,4,11700,15283,23051,2,7,13800,46827,29297.91,6,19,20800,,0,1970
16428,saving,M,44,233,20936,,2094,,11778.5,,9,6,6,,,,600000,,,,,,132442,,,1981.07,2294,2,1,2000,19361.24,19529,1,1,19300,5426.55,7544,3,1,5300,,1238.18,21579
18721,saving,F,35,324,1183.83,,3656.29,,945,,2,7,9,,,,100000,,,,,,,,,6462,10271,6,1,10000,7461,3194,2,3,3000,26178.05,53483,4,4,45000,,0,1814
4340,current,M,26,233,53819.88,1371,4712.92,2220,1048,,14,8,11,4,5,2,50000,,,,,,,,,7717.72,7792,17,4,3000,25958.5,26620,3,22,20603,31189.26,33183.13,7,31,20890,,0,626
28060,current,F,30,683,1495,4237,2212,5292,1964,4237.83,1,,1,8,14,22,30000,,,,,,,,,18794,25721,22,2,25282,17633,26256,4,24,24782,27984.33,81517,3,31,50000,,0,2052
746,current,M,32,892,1847,5976,1347.8,4112,669,3056,2,2,6,9,2,4,25000,,,,,,,,,41384.23,35415,33,3,30281,25021.55,36579,3,19,30281,39320.36,34332,3,23,31663,,0,434
41628,current,M,37,233,9214.92,,95625.88,16423,11419.76,,1,5,5,,7,11,300000,,,,,,1382889,,,76357.04,64656.01,24,13,51606,124355,126944.38,26,28,51555,285663.35,254939.15,25,34,92800,,0,10331
16836,saving,M,47,233,9191.31,,8327.55,,14642,,5,6,14,,,,64000,,,,,,,,,198.25,,1,0,,,,,,,,503,1,0,275,,0,2437
12242,saving,M,58,534,38237.52,,23613.67,511,306,,23,15,25,,1,,245000,,,1,,4474.05,,,,17075.25,10196.88,4,2,10000,51947,45280.24,4,4,40000,38053,42712.6,4,2,40000,Y,2000.4,2573
25418,current,M,43,653,4646.53,,7694.5,,2346,,7,10,10,,,1,55000,,,,,,,,,240158.3,240769.7,10,10,110000,47179.3,52142,3,5,35247,25009.32,78940,4,10,60848,,7017.14,2072
16231,saving,M,42,283,17440.24,12711.75,1790.93,19093,5051,5548,11,2,9,3,8,11,200000,,,,,488699.8,668822.62,51520,,80215.99,475671,22,2,400000,142437.8,316284.82,9,25,124158.63,93226.39,107756.76,8,28,76264,,14638.83,5050
19133,current,M,31,879,14820.5,509,2413,375,488,,8,1,3,1,1,,30000,,1,,,,,,,23535,18746,13,1,18465,12184,20129,1,8,19842,23517,17403,2,14,17061,,1238.33,4686
28475,current,M,49,723,8448.1,,8360.4,356,1370,,11,12,7,,1,,40000,,,,,,,,,284543.93,117667.95,15,6,80758,27980.78,92125.42,6,12,79834,127564.74,81541.29,3,17,80789,,283.92,6085
19469,current,M,33,554,3087.85,,18785.69,,436,,6,14,14,,,,45000,,,,,15939.83,,,,15537.64,12978,5,2,10300,14966.99,18239,3,6,13534,35145.45,24522,3,6,15000,,0,2152
